Subject Code,Subject Title,Credits,Internal Marks,External Marks,Total Marks,Subject Result
BCS401,ANALYSIS AND DESIGN OF ALGORITHMS,3,50,41,91,P
BCS402,MICROCONTROLLERS,4,50,18,68,P
BCS403,DATABASE MANAGEMENT SYSTEMS,4,49,36,85,P
BCSL404,ANALYSIS AND DESIGN OF ALGORITHMS LAB,1,50,50,100,P
BBOC407,BIOLOGY FOR COMPUTER ENGINEERS,2,44,30,74,P
BUHK408,UNIVERSAL HUMAN VALUES COURSE,1,50,42,92,P
BPEK459,PHYSICAL EDUCATION,NA,94,0,94,P
BCS405B,GRAPH THEORY,3,44,31,75,P
BCSL456D,TECHNICAL WRITING USING LATEX LAB,1,50,50,100,P
